"id","name","code","executive","employee","worker"
occupation_type_employee_219004,"INGENIERO CIVIL, CONSTRUCCION/AERODROMOS",219004,True,True,False,
occupation_type_employee_219005,"INGENIERO CIVIL, CONSTRUCCION/AEROPUERTOS",219005,True,True,False,
occupation_type_employee_219006,"INGENIERO CIVIL, CONSTRUCCION/CALLES",219006,True,True,False,
occupation_type_employee_219007,"INGENIERO CIVIL, CONSTRUCCION/CARRETERAS Y AUTOPISTAS",219007,True,True,False,
occupation_type_employee_219008,"INGENIERO CIVIL, CONSTRUCCION/CHIMENEAS DE FABRICAS",219008,True,True,False,
occupation_type_employee_219009,"INGENIERO CIVIL, CONSTRUCCION/EDIFICIOS Y/O VIVIENDAS",219009,True,True,False,
occupation_type_employee_219010,"INGENIERO CIVIL, CONSTRUCCION/ESTRUCTURAS DE EDIFICIOS",219010,True,True,False,
occupation_type_employee_219011,"INGENIERO CIVIL, CONSTRUCCION/ESTRUCTURAS METALICAS",219011,True,True,False,
occupation_type_employee_219012,"INGENIERO CIVIL, CONSTRUCCION/VIAS FERREAS",219012,True,True,False,
occupation_type_employee_219013,"INGENIERO CIVIL, CONSTRUCCION/INSTALACIONES PORTUARIAS",219013,True,True,False,
occupation_type_employee_219014,"INGENIERO CIVIL, CONSTRUCCION/MUELLES Y PUERTOS",219014,True,True,False,
occupation_type_employee_219015,"INGENIERO CIVIL, CONSTRUCCION/PUENTES",219015,True,True,False,
occupation_type_employee_219016,"INGENIERO CIVIL, CONSTRUCCION/TORRES",219016,True,True,False,
occupation_type_employee_219017,"INGENIERO CIVIL, CONSTRUCCION/TUNELES",219017,True,True,False,
occupation_type_employee_219018,"INGENIERO CIVIL, CONTRATISTAS DE OBRAS",219018,True,True,False,
occupation_type_employee_219019,"INGENIERO CIVIL, INSPECTOR DE OBRAS",219019,True,True,False,
occupation_type_employee_219020,"INGENIERO CIVIL, IRRIGACION",219020,True,True,False,
